server analysis:
0.025 & 10000 & 14 & 1935.6 & 2090.1 & 7.98\% & 256.8 \\ \hline
0.05 & 10000 & 14 & 1930.8 & 2087.2 & 8.10\% & 68.5 \\ \hline
0.1 & 10000 & 14 & 1930.7 & 2078.5 & 7.66\% & 59.8 \\ \hline
0.2 & 10000 & 14 & 1931.4 & 2074.7 & 7.42\% & 26.9 \\ \hline
0.4 & 10000 & 14 & 1930.4 & 2003.4 & 3.78\% & 11.5 \\ \hline
0.8 & 10000 & 14 & 1929.6 & 1999.3 & 3.61\% & 6.3 \\ \hline
client analysis:
0.025 & 10000 & 1293.9 & 2749.6 & 112.50\% \\ \hline
0.05 & 10000 & 1290.6 & 2746.4 & 112.80\% \\ \hline
0.1 & 10000 & 1290.5 & 2738.6 & 112.21\% \\ \hline
0.2 & 10000 & 1289.8 & 2737.1 & 112.21\% \\ \hline
0.4 & 10000 & 1289.1 & 2641.2 & 104.89\% \\ \hline
0.8 & 10000 & 1286.7 & 2634.3 & 104.73\% \\ \hline
epsilon,clients,noises,trials,
0.025,10000,14,10,
flavor,dimension,calculated_sum,actual_sum,client_elapsed,server_elapsed,
prio,1,5006,5006,1323,1932,
prio,1,5002,5002,1292,1934,
prio,1,5005,5005,1292,1934,
prio,1,4981,4981,1292,1932,
prio,1,4986,4986,1289,1932,
prio,1,5038,5038,1291,1932,
prio,1,4951,4951,1287,1959,
prio,1,5080,5080,1292,1932,
prio,1,4943,4943,1290,1934,
prio,1,4994,4994,1291,1935,
dprio,11,4792,4949,2748,2095,
dprio,11,4867,4952,2749,2091,
dprio,11,5277,5039,2761,2089,
dprio,11,4688,5038,2749,2089,
dprio,11,4950,5090,2750,2088,
dprio,11,5100,5057,2747,2091,
dprio,11,5189,4951,2746,2090,
dprio,11,5643,5083,2749,2088,
dprio,11,4687,4979,2749,2091,
dprio,11,5433,4968,2748,2089,
epsilon,clients,noises,trials,
0.05,10000,14,10,
flavor,dimension,calculated_sum,actual_sum,client_elapsed,server_elapsed,
prio,1,5051,5051,1290,1931,
prio,1,4966,4966,1291,1933,
prio,1,5014,5014,1292,1932,
prio,1,4942,4942,1292,1932,
prio,1,4970,4970,1289,1930,
prio,1,4969,4969,1290,1930,
prio,1,5021,5021,1291,1930,
prio,1,4942,4942,1291,1930,
prio,1,5033,5033,1290,1930,
