false,1,10000,1300 ms,0 us,989 ms,955 ms,1945 ms
false,1,10000,1291 ms,0 us,993 ms,958 ms,1951 ms
false,1,10000,1290 ms,0 us,990 ms,956 ms,1946 ms
false,1,10000,1288 ms,0 us,989 ms,955 ms,1944 ms
false,1,10000,1288 ms,0 us,989 ms,956 ms,1946 ms
true,1,10000,2519 ms,73 us,989 ms,956 ms,1945 ms
true,1,10000,2520 ms,57 us,990 ms,956 ms,1946 ms
true,1,10000,2520 ms,60 us,989 ms,956 ms,1946 ms
true,1,10000,2522 ms,63 us,990 ms,956 ms,1946 ms
true,1,10000,2520 ms,68 us,990 ms,956 ms,1946 ms
false,8,10000,1372 ms,0 us,1093 ms,978 ms,2071 ms
false,8,10000,1370 ms,0 us,1093 ms,978 ms,2071 ms
false,8,10000,1371 ms,0 us,1092 ms,978 ms,2070 ms
false,8,10000,1372 ms,0 us,1093 ms,978 ms,2071 ms
false,8,10000,1371 ms,0 us,1092 ms,977 ms,2070 ms
true,8,10000,2681 ms,72 us,1091 ms,978 ms,2069 ms
true,8,10000,2682 ms,57 us,1091 ms,978 ms,2069 ms
true,8,10000,2682 ms,58 us,1091 ms,979 ms,2071 ms
true,8,10000,2681 ms,58 us,1091 ms,978 ms,2069 ms
true,8,10000,2682 ms,58 us,1091 ms,978 ms,2069 ms
false,64,10000,2134 ms,0 us,2042 ms,1078 ms,3121 ms
false,64,10000,2131 ms,0 us,2041 ms,1084 ms,3126 ms
false,64,10000,2134 ms,0 us,2042 ms,1080 ms,3122 ms
false,64,10000,2128 ms,0 us,2037 ms,1078 ms,3116 ms
false,64,10000,2127 ms,0 us,2038 ms,1078 ms,3116 ms
true,64,10000,4107 ms,105 us,2038 ms,1077 ms,3116 ms
true,64,10000,4108 ms,97 us,2037 ms,1075 ms,3114 ms
true,64,10000,4108 ms,111 us,2038 ms,1076 ms,3115 ms
true,64,10000,4113 ms,119 us,2042 ms,1079 ms,3121 ms
true,64,10000,4108 ms,105 us,2038 ms,1076 ms,3115 ms
false,256,10000,5232 ms,0 us,5920 ms,1475 ms,7396 ms
false,256,10000,5224 ms,0 us,5911 ms,1473 ms,7384 ms
false,256,10000,5223 ms,0 us,5912 ms,1473 ms,7386 ms
false,256,10000,5227 ms,0 us,5916 ms,1472 ms,7389 ms
false,256,10000,5223 ms,0 us,5913 ms,1473 ms,7387 ms
true,256,10000,9973 ms,80 us,5910 ms,1476 ms,7386 ms
true,256,10000,9987 ms,118 us,5918 ms,1475 ms,7393 ms
true,256,10000,9979 ms,125 us,5914 ms,1476 ms,7390 ms
true,256,10000,9970 ms,83 us,5911 ms,1474 ms,7386 ms
true,256,10000,9987 ms,113 us,5915 ms,1478 ms,7393 ms
false,1,10000,1287 ms,0 us,989 ms,955 ms,1945 ms
false,1,10000,1288 ms,0 us,989 ms,955 ms,1945 ms
false,1,10000,1288 ms,0 us,989 ms,955 ms,1945 ms
false,1,10000,1287 ms,0 us,989 ms,955 ms,1944 ms
false,1,10000,1288 ms,0 us,989 ms,955 ms,1944 ms
true,1,10000,2521 ms,91 us,990 ms,955 ms,1945 ms
true,1,10000,2521 ms,58 us,990 ms,956 ms,1946 ms
true,1,10000,2521 ms,52 us,990 ms,955 ms,1946 ms
true,1,10000,2525 ms,72 us,989 ms,955 ms,1945 ms
true,1,10000,2521 ms,55 us,990 ms,958 ms,1948 ms
false,1,100000,12882 ms,0 us,9904 ms,9569 ms,19474 ms
false,1,100000,12881 ms,0 us,9892 ms,9562 ms,19455 ms
false,1,100000,12889 ms,0 us,9897 ms,9567 ms,19464 ms
false,1,100000,12883 ms,0 us,9908 ms,9567 ms,19475 ms
false,1,100000,12887 ms,0 us,9894 ms,9565 ms,19460 ms
true,1,100000,25175 ms,51 us,9894 ms,9562 ms,19456 ms
true,1,100000,25194 ms,79 us,9911 ms,9572 ms,19483 ms
true,1,100000,25184 ms,43 us,9903 ms,9569 ms,19473 ms
true,1,100000,25186 ms,70 us,9900 ms,9572 ms,19472 ms
true,1,100000,25183 ms,65 us,9892 ms,9562 ms,19455 ms
false,1,1000000,128662 ms,0 us,99062 ms,95717 ms,194780 ms
false,1,1000000,128691 ms,0 us,99059 ms,95676 ms,194735 ms
false,1,1000000,128802 ms,0 us,99067 ms,95666 ms,194733 ms
false,1,1000000,129027 ms,0 us,99637 ms,96611 ms,196248 ms
false,1,1000000,130894 ms,0 us,100431 ms,97317 ms,197748 ms
true,1,1000000,256695 ms,133 us,100213 ms,96790 ms,197003 ms
true,1,1000000,256884 ms,185 us,100361 ms,97095 ms,197457 ms
true,1,1000000,255213 ms,141 us,100205 ms,96571 ms,196777 ms
true,1,1000000,251822 ms,128 us,99180 ms,95752 ms,194933 ms
true,1,1000000,251781 ms,132 us,99171 ms,95791 ms,194962 ms
