server analysis:
0.025 & 10000 & 14 & 1748.6 & 1839.5 & 5.20\% & 177.5 \\ \hline
0.05 & 10000 & 14 & 1741.1 & 1837.3 & 5.53\% & 80.4 \\ \hline
0.1 & 10000 & 14 & 1722.6 & 1814.8 & 5.35\% & 37.1 \\ \hline
0.2 & 10000 & 14 & 1731.4 & 1823.4 & 5.32\% & 22.2 \\ \hline
0.4 & 10000 & 14 & 1713.9 & 1755.7 & 2.44\% & 9.9 \\ \hline
0.8 & 10000 & 14 & 1718.1 & 1758.6 & 2.36\% & 4.9 \\ \hline
client analysis:
0.025 & 10000 & 1107.2 & 2345.1 & 111.80\% \\ \hline
0.05 & 10000 & 1103.1 & 2339.9 & 112.11\% \\ \hline
0.1 & 10000 & 1089.9 & 2304.6 & 111.46\% \\ \hline
0.2 & 10000 & 1096.0 & 2320.5 & 111.73\% \\ \hline
0.4 & 10000 & 1081.6 & 2223.7 & 105.59\% \\ \hline
0.8 & 10000 & 1086.4 & 2234.4 & 105.68\% \\ \hline
epsilon,clients,noises,trials,
0.025,10000,14,50,
flavor,dimension,calculated_sum,actual_sum,client_elapsed,server_elapsed,
prio,1,5024,5024,1243,2019,
prio,1,4956,4956,1112,1751,
prio,1,5031,5031,1112,1757,
prio,1,5021,5021,1113,1754,
prio,1,4997,4997,1107,1750,
prio,1,4942,4942,1109,1747,
prio,1,5030,5030,1104,1742,
prio,1,4991,4991,1107,1752,
prio,1,5012,5012,1110,1751,
prio,1,4919,4919,1112,1757,
prio,1,4997,4997,1110,1750,
prio,1,4995,4995,1107,1749,
prio,1,4957,4957,1108,1749,
prio,1,5007,5007,1107,1747,
prio,1,5037,5037,1104,1744,
prio,1,4947,4947,1103,1740,
prio,1,4922,4922,1103,1740,
prio,1,4994,4994,1103,1741,
prio,1,5000,5000,1107,1745,
prio,1,4959,4959,1103,1742,
prio,1,5047,5047,1102,1740,
prio,1,4932,4932,1104,1739,
prio,1,5042,5042,1101,1738,
prio,1,4988,4988,1103,1741,
prio,1,5068,5068,1100,1738,
prio,1,5065,5065,1101,1738,
prio,1,4973,4973,1104,1742,
prio,1,4974,4974,1102,1745,
prio,1,5012,5012,1102,1739,
prio,1,5005,5005,1101,1738,
prio,1,5048,5048,1107,1742,
prio,1,5016,5016,1101,1742,
prio,1,5016,5016,1108,1743,
prio,1,5140,5140,1103,1739,
prio,1,4960,4960,1103,1739,
prio,1,5004,5004,1105,1738,
prio,1,4983,4983,1100,1740,
prio,1,4917,4917,1101,1737,
prio,1,4953,4953,1100,1737,
prio,1,5022,5022,1101,1738,
prio,1,5014,5014,1102,1741,
prio,1,4942,4942,1103,1740,
prio,1,5006,5006,1103,1742,
prio,1,5050,5050,1103,1741,
prio,1,4928,4928,1100,1740,
prio,1,4994,4994,1102,1741,
prio,1,4999,4999,1107,1740,
prio,1,5042,5042,1104,1741,
prio,1,5013,5013,1101,1740,
prio,1,4957,4957,1104,1742,
dprio,11,4735,5010,2500,1851,
dprio,11,4675,4983,2360,1855,
dprio,11,5031,4971,2363,1858,
dprio,11,4956,4960,2354,1848,
dprio,11,4826,4985,2356,1847,
dprio,11,5100,4997,2342,1840,
dprio,11,5021,4952,2343,1841,
dprio,11,4864,5018,2354,1836,
dprio,11,4911,4971,2353,1851,
dprio,11,4887,4989,2351,1849,
dprio,11,4762,5068,2348,1846,
dprio,11,4668,4936,2348,1846,
dprio,11,5230,5000,2345,1841,
dprio,11,5153,4976,2344,1841,
dprio,11,4964,4993,2343,1839,
dprio,11,5637,4902,2340,1839,
dprio,11,4780,5023,2341,1836,
dprio,11,4783,4994,2342,1838,
dprio,11,5233,4988,2342,1838,
dprio,11,4756,5046,2340,1836,
dprio,11,5091,4908,2339,1837,
dprio,11,5169,5033,2335,1835,
